courseCode,cohortSize,Campus
ASST07008,114,*George Square/Buccleuch
ASST07008,114,*George Square/Buccleuch
ASST07008,114,*George Square/Buccleuch
ASST07008,114,*George Square/Buccleuch
ASST07008,89,*George Square/Buccleuch
ASST07008,89,*George Square/Buccleuch
ASST07008,89,*George Square/Buccleuch
ASST07008,89,*George Square/Buccleuch
ASST07008,89,*George Square/Buccleuch
ASST07022,10,*Central
ASST07022,10,*George Square/Buccleuch
ASST07024,38,*George Square/Buccleuch
ASST07024,38,*George Square/Buccleuch
ASST07024,38,*George Square/Buccleuch
ASST07024,38,*George Square/Buccleuch
ASST07024,20,*George Square/Buccleuch
ASST07024,20,*George Square/Buccleuch
ASST07024,20,*George Square/Buccleuch
ASST07024,20,*George Square/Buccleuch
ASST07027,33,*Central
ASST07027,33,*Central
ASST07027,35,*Central
ASST07027,35,*Central
ASST08001,34,*George Square/Buccleuch
ASST08001,34,*Central
ASST08001,34,*George Square/Buccleuch
ASST08001,34,*George Square/Buccleuch
ASST08001,34,*George Square/Buccleuch
ASST08001,34,*George Square/Buccleuch
ASST08001,34,*Central
ASST08001,34,*George Square/Buccleuch
ASST08001,34,*Central
ASST08001,34,*Central
ASST08001,34,*George Square/Buccleuch
ASST08001,34,*Central
ASST08001,34,*George Square/Buccleuch
ASST08001,34,*George Square/Buccleuch
ASST08001,34,*George Square/Buccleuch
ASST08001,34,*George Square/Buccleuch
ASST08001,34,*George Square/Buccleuch
ASST08001,34,*Central
ASST08001,34,*Central
ASST08001,34,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*Central
ASST08018,54,*Central
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*Central
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08018,54,*George Square/Buccleuch
ASST08041,30,*Central
ASST08041,30,*George Square/Buccleuch
